Time(s),CH4V
-6.700000e-04,7.200000e-03
-6.650000e-04,-6.933333e-03
-6.600000e-04,1.173333e-02
-6.550000e-04,7.200000e-03
-6.500000e-04,2.400000e-03
-6.450000e-04,-2.533333e-02
-6.400000e-04,7.200000e-03
-6.350000e-04,-3.946667e-02
-6.300000e-04,7.200000e-03
-6.250000e-04,-2.133333e-03
-6.200000e-04,-6.933333e-03
-6.150000e-04,-2.133333e-03
-6.100000e-04,-2.080000e-02
-6.050000e-04,-1.600000e-02
-6.000000e-04,-2.133333e-03
-5.950000e-04,-1.600000e-02
-5.900000e-04,-1.600000e-02
-5.850000e-04,-2.533333e-02
-5.800000e-04,-1.146667e-02
-5.750000e-04,-1.600000e-02
-5.700000e-04,-3.466667e-02
-5.650000e-04,-2.133333e-03
-5.600000e-04,-3.013333e-02
-5.550000e-04,-2.080000e-02
-5.500000e-04,-1.600000e-02
-5.450000e-04,-3.946667e-02
-5.400000e-04,7.200000e-03
-5.350000e-04,7.200000e-03
-5.300000e-04,-6.933333e-03
-5.250000e-04,-3.013333e-02
-5.200000e-04,-2.533333e-02
-5.150000e-04,-3.466667e-02
-5.100000e-04,-2.533333e-02
-5.050000e-04,-2.533333e-02
-5.000000e-04,1.653333e-02
-4.950000e-04,-2.533333e-02
-4.900000e-04,-1.600000e-02
-4.850000e-04,-2.133333e-03
-4.800000e-04,-3.013333e-02
-4.750000e-04,-1.600000e-02
-4.700000e-04,-4.400000e-02
-4.650000e-04,-6.933333e-03
-4.600000e-04,-1.600000e-02
-4.550000e-04,2.400000e-03
-4.500000e-04,-1.600000e-02
-4.450000e-04,-2.080000e-02
-4.400000e-04,7.200000e-03
-4.350000e-04,-3.013333e-02
-4.300000e-04,-6.933333e-03
-4.250000e-04,7.200000e-03
-4.200000e-04,-6.933333e-03
-4.150000e-04,-1.146667e-02
-4.100000e-04,-1.600000e-02
-4.050000e-04,-2.533333e-02
-4.000000e-04,7.200000e-03
-3.950000e-04,2.106667e-02
-3.900000e-04,7.200000e-03
-3.850000e-04,-2.133333e-03
-3.800000e-04,-2.533333e-02
-3.750000e-04,7.200000e-03
-3.700000e-04,-3.466667e-02
-3.650000e-04,-6.933333e-03
-3.600000e-04,-1.600000e-02
-3.550000e-04,-2.533333e-02
-3.500000e-04,-3.466667e-02
-3.450000e-04,7.200000e-03
-3.400000e-04,1.653333e-02
-3.350000e-04,-2.533333e-02
-3.300000e-04,7.200000e-03
-3.250000e-04,-4.853334e-02
-3.200000e-04,-6.933333e-03
